url_path,views_total,views_unique
/animo/homebrew-siera/blob/metrics/animo/homebrew-siera/ghrs-data/snapshots/2023-12-03_001014_top_paths_snapshot.csv,8,1
/animo/homebrew-siera/tree/metrics/animo/homebrew-siera,4,1
/animo/homebrew-siera/tree/metrics/animo/homebrew-siera/latest-report,4,1
/animo/homebrew-siera,2,2
/animo/homebrew-siera/blob/metrics/animo/homebrew-siera/latest-report/report.html,2,1
/animo/homebrew-siera/branches,2,1
/animo/homebrew-siera/tree/metrics/animo/homebrew-siera/ghrs-data,2,1
/animo/homebrew-siera/tree/metrics/animo/homebrew-siera/ghrs-data/snapshots,2,1
/animo/homebrew-siera/tree/metrics,1,1
